Description(Sequences  with  E-value BETTER than threshold),Scientific Name,Common Name,Taxid,Max Score,Total Score,Query Cover,E value,Per. ident,Acc. Len,Accession  
Hint domain-containing protein [Selenomonas ruminantium],Selenomonas ruminantium,NA,971,56.3,56.3,77%,8e-07,22.89,274,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_173441497.1?report=genbank&log$=prottop&blast_rank=2826&RID=2AYZ3C4E016"",""WP_173441497.1"")"
Nif11-like leader peptide family RiPP precursor [Pleurocapsa sp. PCC 7319],Pleurocapsa sp. PCC 7319,NA,118161,53.2,53.2,85%,8e-07,16.67,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_019503333.1?report=genbank&log$=prottop&blast_rank=2827&RID=2AYZ3C4E016"",""WP_019503333.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. BIOS-E4-1],Synechococcus sp. BIOS-E4-1,NA,1400864,53.6,53.6,81%,8e-07,25.00,91,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186539704.1?report=genbank&log$=prottop&blast_rank=2828&RID=2AYZ3C4E016"",""WP_186539704.1"")"
TPA: hypothetical protein [Acidobacteria bacterium],Acidobacteria bacterium,NA,1978231,53.2,53.2,84%,8e-07,25.00,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBL26150.1?report=genbank&log$=prottop&blast_rank=2829&RID=2AYZ3C4E016"",""HBL26150.1"")"
hypothetical protein [Syntrophomonadaceae bacterium],Syntrophomonadaceae bacterium,NA,2093811,54.0,54.0,79%,8e-07,24.69,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NLG33637.1?report=genbank&log$=prottop&blast_rank=2830&RID=2AYZ3C4E016"",""NLG33637.1"")"
TPA: Nif11-like leader peptide family natural product precursor [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,54.0,54.0,96%,8e-07,22.77,109,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HHU76885.1?report=genbank&log$=prottop&blast_rank=2831&RID=2AYZ3C4E016"",""HHU76885.1"")"
Nif11-like leader peptide family natural product precursor [Leptolyngbyaceae cyanobacterium CRU_2_3],Leptolyngbyaceae cyanobacterium CRU_2_3,NA,2720406,52.8,52.8,48%,8e-07,27.08,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJR64716.1?report=genbank&log$=prottop&blast_rank=2832&RID=2AYZ3C4E016"",""NJR64716.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Cyanobium],unclassified Cyanobium,NA,2627006,53.2,53.2,75%,8e-07,22.97,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_193814727.1?report=genbank&log$=prottop&blast_rank=2833&RID=2AYZ3C4E016"",""WP_193814727.1"")"
Nif11 family protein [Desulfovibrio brasiliensis],Desulfovibrio brasiliensis,NA,221711,53.2,53.2,77%,8e-07,21.05,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_054652893.1?report=genbank&log$=prottop&blast_rank=2834&RID=2AYZ3C4E016"",""WP_054652893.1"")"
Nif11-like leader peptide family natural product precursor [Parachlamydiaceae bacterium],Parachlamydiaceae bacterium,NA,2052176,53.2,53.2,76%,8e-07,18.67,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBA3603891.1?report=genbank&log$=prottop&blast_rank=2835&RID=2AYZ3C4E016"",""MBA3603891.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. UW140],Synechococcus sp. UW140,NA,368503,53.2,53.2,82%,8e-07,17.28,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_115018860.1?report=genbank&log$=prottop&blast_rank=2836&RID=2AYZ3C4E016"",""WP_115018860.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcus sp. MED-G71],Synechococcus sp. MED-G71,NA,2267256,53.2,53.2,75%,8e-07,21.62,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/RCL53962.1?report=genbank&log$=prottop&blast_rank=2837&RID=2AYZ3C4E016"",""RCL53962.1"")"
TPA: hypothetical protein [Lachnospiraceae bacterium],Lachnospiraceae bacterium,NA,1898203,53.6,53.6,84%,8e-07,23.81,104,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCM92771.1?report=genbank&log$=prottop&blast_rank=2838&RID=2AYZ3C4E016"",""HCM92771.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcus lacustris str. Tous],Synechococcus lacustris str. Tous,NA,1910958,53.2,53.2,86%,8e-07,22.35,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OON13163.1?report=genbank&log$=prottop&blast_rank=2839&RID=2AYZ3C4E016"",""OON13163.1"")"
bacteriocin [Cyanobium sp. NAT70],Cyanobium sp. NAT70,NA,2024872,53.2,53.2,65%,8e-07,18.75,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAR06750.1?report=genbank&log$=prottop&blast_rank=2840&RID=2AYZ3C4E016"",""MAR06750.1"")"
Nif11 family protein [Hormoscilla sp. GM7CHS1pb],Hormoscilla sp. GM7CHS1pb,NA,2653677,56.3,56.3,61%,8e-07,26.67,306,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC6480581.1?report=genbank&log$=prottop&blast_rank=2841&RID=2AYZ3C4E016"",""MBC6480581.1"")"
hypothetical protein [Ruminococcaceae bacterium],Ruminococcaceae bacterium,NA,1898205,54.4,54.4,64%,9e-07,20.63,138,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6647559.1?report=genbank&log$=prottop&blast_rank=2842&RID=2AYZ3C4E016"",""MBE6647559.1"")"
Nif11 family protein [Nostoc sp. FACHB-892],Nostoc sp. FACHB-892,NA,2692843,53.6,53.6,70%,9e-07,23.75,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190914996.1?report=genbank&log$=prottop&blast_rank=2843&RID=2AYZ3C4E016"",""WP_190914996.1"")"
Nif11-like leader peptide family natural product precursor [Gemmatimonadetes bacterium],Gemmatimonadetes bacterium,NA,2026742,53.6,53.6,79%,9e-07,21.25,103,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJD18692.1?report=genbank&log$=prottop&blast_rank=2844&RID=2AYZ3C4E016"",""NJD18692.1"")"
hypothetical protein BWY31_01006 [Lentisphaerae bacterium ADurb.Bin242],Lentisphaerae bacterium ADurb.Bin242,NA,1852900,53.6,53.6,77%,9e-07,34.21,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OQA86962.1?report=genbank&log$=prottop&blast_rank=2845&RID=2AYZ3C4E016"",""OQA86962.1"")"
hypothetical protein MldDRAFT_2034 [delta proteobacterium MLMS-1],delta proteobacterium MLMS-1,NA,262489,52.8,52.8,56%,9e-07,25.45,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/EAT01604.1?report=genbank&log$=prottop&blast_rank=2846&RID=2AYZ3C4E016"",""EAT01604.1"")"
Nif11-like leader peptide family natural product precursor [Kineosporiaceae bacterium],Kineosporiaceae bacterium,NA,2487580,53.2,53.2,68%,9e-07,31.34,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBC7596566.1?report=genbank&log$=prottop&blast_rank=2847&RID=2AYZ3C4E016"",""MBC7596566.1"")"
TPA: hypothetical protein [Lentisphaeria bacterium],Lentisphaeria bacterium,NA,2053569,53.2,53.2,77%,9e-07,30.26,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HCG27125.1?report=genbank&log$=prottop&blast_rank=2848&RID=2AYZ3C4E016"",""HCG27125.1"")"
Nif11-like leader peptide family natural product precursor [Cyanobium sp. ARS6],Cyanobium sp. ARS6,NA,2024869,52.8,52.8,58%,9e-07,21.05,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MAF41665.1?report=genbank&log$=prottop&blast_rank=2849&RID=2AYZ3C4E016"",""MAF41665.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcus sp. BS307-5m-G39],Synechococcus sp. BS307-5m-G39,NA,2781770,53.2,53.2,76%,9e-07,20.00,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL6797837.1?report=genbank&log$=prottop&blast_rank=2850&RID=2AYZ3C4E016"",""MBL6797837.1"")"
Nif11-like leader peptide family RiPP precursor [Mastigocoleus testarum],Mastigocoleus testarum,NA,996925,52.8,52.8,85%,9e-07,15.48,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_027845206.1?report=genbank&log$=prottop&blast_rank=2851&RID=2AYZ3C4E016"",""WP_027845206.1"")"
Nif11-like leader peptide family natural product precursor [Firmicutes bacterium],Firmicutes bacterium,NA,1879010,53.6,53.6,70%,9e-07,35.71,102,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NPV91235.1?report=genbank&log$=prottop&blast_rank=2852&RID=2AYZ3C4E016"",""NPV91235.1"")"
Nif11 family protein [Niveispirillum irakense],Niveispirillum irakense,NA,34011,53.2,53.2,90%,9e-07,18.56,97,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_029011806.1?report=genbank&log$=prottop&blast_rank=2853&RID=2AYZ3C4E016"",""WP_029011806.1"")"
Nif11-like leader peptide family RiPP precursor [Candidatus Methylospira mobilis],Candidatus Methylospira mobilis,NA,1808979,52.4,52.4,65%,9e-07,33.85,65,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_153247480.1?report=genbank&log$=prottop&blast_rank=2854&RID=2AYZ3C4E016"",""WP_153247480.1"")"
Nif11-like leader peptide family RiPP precursor [Magnetospirillum aberrantis],Magnetospirillum aberrantis,NA,1105283,52.4,52.4,65%,1e-06,29.23,65,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_163675334.1?report=genbank&log$=prottop&blast_rank=2855&RID=2AYZ3C4E016"",""WP_163675334.1"")"
unknown [Ruminococcus sp. CAG:382],Ruminococcus sp. CAG:382,NA,1262957,54.0,54.0,80%,1e-06,19.28,126,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/CDD01460.1?report=genbank&log$=prottop&blast_rank=2856&RID=2AYZ3C4E016"",""CDD01460.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcus sp. BS307-5m-G38],Synechococcus sp. BS307-5m-G38,NA,2781769,52.8,52.8,65%,1e-06,18.75,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL6803429.1?report=genbank&log$=prottop&blast_rank=2857&RID=2AYZ3C4E016"",""MBL6803429.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. CBW1004],Synechococcus sp. CBW1004,NA,1353136,53.2,53.2,65%,1e-06,20.31,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197210539.1?report=genbank&log$=prottop&blast_rank=2858&RID=2AYZ3C4E016"",""WP_197210539.1"")"
Nif11 family protein [Reyranella sp.],Reyranella sp.,NA,1929291,53.2,53.2,89%,1e-06,15.91,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/TAJ25573.1?report=genbank&log$=prottop&blast_rank=2859&RID=2AYZ3C4E016"",""TAJ25573.1"")"
Nif11-like leader peptide family RiPP precursor [Merismopedia glauca],Merismopedia glauca,NA,292586,52.8,52.8,85%,1e-06,19.05,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_106289644.1?report=genbank&log$=prottop&blast_rank=2860&RID=2AYZ3C4E016"",""WP_106289644.1"")"
hypothetical protein A2017_01305 [Lentisphaerae bacterium GWF2_44_16],Lentisphaerae bacterium GWF2_44_16,NA,1798571,53.6,53.6,80%,1e-06,23.60,110,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/OGV50501.1?report=genbank&log$=prottop&blast_rank=2861&RID=2AYZ3C4E016"",""OGV50501.1"")"
Nif11 family protein [Desulfobulbus propionicus],Desulfobulbus propionicus,NA,894,52.8,52.8,63%,1e-06,25.81,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_015723042.1?report=genbank&log$=prottop&blast_rank=2862&RID=2AYZ3C4E016"",""WP_015723042.1"")"
Nif11-like leader peptide family RiPP precursor [Methylocystis bryophila],Methylocystis bryophila,NA,655015,52.4,52.4,65%,1e-06,32.31,65,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_085770882.1?report=genbank&log$=prottop&blast_rank=2863&RID=2AYZ3C4E016"",""WP_085770882.1"")"
Nif11-like leader peptide family RiPP precursor [Roseovarius lutimaris],Roseovarius lutimaris,NA,1005928,52.8,52.8,89%,1e-06,14.77,85,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_092841089.1?report=genbank&log$=prottop&blast_rank=2864&RID=2AYZ3C4E016"",""WP_092841089.1"")"
hypothetical protein [Alcaligenaceae bacterium],Alcaligenaceae bacterium,NA,2021368,53.6,53.6,80%,1e-06,19.28,117,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NYT44142.1?report=genbank&log$=prottop&blast_rank=2865&RID=2AYZ3C4E016"",""NYT44142.1"")"
Nif11-like leader peptide family natural product precursor [Fischerella thermalis WC217],Fischerella thermalis WC217,NA,1521406,52.4,52.4,65%,1e-06,23.44,58,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/PLZ77926.1?report=genbank&log$=prottop&blast_rank=2866&RID=2AYZ3C4E016"",""PLZ77926.1"")"
Nif11 family protein [Propionibacterium cyclohexanicum],Propionibacterium cyclohexanicum,NA,64702,52.8,52.8,63%,1e-06,22.58,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_091971091.1?report=genbank&log$=prottop&blast_rank=2867&RID=2AYZ3C4E016"",""WP_091971091.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. CBW1006],Synechococcus sp. CBW1006,NA,1353138,52.8,52.8,65%,1e-06,15.62,84,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197156452.1?report=genbank&log$=prottop&blast_rank=2868&RID=2AYZ3C4E016"",""WP_197156452.1"")"
Nif11 family protein [Tolypothrix sp. PCC 7910],Tolypothrix sp. PCC 7910,NA,2099387,52.4,52.4,57%,1e-06,21.67,67,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_167718567.1?report=genbank&log$=prottop&blast_rank=2869&RID=2AYZ3C4E016"",""WP_167718567.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. MIT S9504],Synechococcus sp. MIT S9504,NA,1801628,52.8,52.8,48%,1e-06,20.83,75,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_067326568.1?report=genbank&log$=prottop&blast_rank=2870&RID=2AYZ3C4E016"",""WP_067326568.1"")"
hypothetical protein [Clostridiales bacterium],Clostridiales bacterium,NA,1898207,54.0,54.0,67%,1e-06,19.70,129,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBD9208034.1?report=genbank&log$=prottop&blast_rank=2871&RID=2AYZ3C4E016"",""MBD9208034.1"")"
Nif11-like leader peptide family RiPP precursor [Prosthecochloris marina],Prosthecochloris marina,NA,2017681,52.8,52.8,50%,1e-06,28.57,76,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_110023108.1?report=genbank&log$=prottop&blast_rank=2872&RID=2AYZ3C4E016"",""WP_110023108.1"")"
"class IIb bacteriocin, lactobin A/cerein 7B family [Phycisphaeraceae bacterium]",Phycisphaeraceae bacterium,NA,2026777,53.6,53.6,81%,1e-06,25.61,107,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL4701099.1?report=genbank&log$=prottop&blast_rank=2873&RID=2AYZ3C4E016"",""MBL4701099.1"")"
Nif11-like leader peptide family RiPP precursor [Spiribacter roseus],Spiribacter roseus,NA,1855875,53.6,53.6,76%,1e-06,19.51,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_159309003.1?report=genbank&log$=prottop&blast_rank=2874&RID=2AYZ3C4E016"",""WP_159309003.1"")"
Nif11-like leader peptide family natural product precursor [Nakamurella sp. PAMC28650],Nakamurella sp. PAMC28650,NA,2762325,53.2,53.2,80%,1e-06,22.50,99,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_187093113.1?report=genbank&log$=prottop&blast_rank=2875&RID=2AYZ3C4E016"",""WP_187093113.1"")"
hypothetical protein ASB62_04370 [Chlorobium limicola],Chlorobium limicola,NA,1092,54.4,54.4,62%,1e-06,27.87,158,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KUL30297.1?report=genbank&log$=prottop&blast_rank=2876&RID=2AYZ3C4E016"",""KUL30297.1"")"
Nif11-like leader peptide family natural product precursor [Lentisphaerae bacterium],Lentisphaerae bacterium,NA,1932692,53.2,53.2,77%,1e-06,26.32,96,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6406455.1?report=genbank&log$=prottop&blast_rank=2877&RID=2AYZ3C4E016"",""MBE6406455.1"")"
hypothetical protein [Myxococcales bacterium],Myxococcales bacterium,NA,2026763,54.4,54.4,86%,1e-06,21.57,151,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBJ80699.1?report=genbank&log$=prottop&blast_rank=2878&RID=2AYZ3C4E016"",""MBJ80699.1"")"
TPA: hypothetical protein [Lachnospiraceae bacterium],Lachnospiraceae bacterium,NA,1898203,53.2,53.2,69%,1e-06,22.06,101,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HBA46890.1?report=genbank&log$=prottop&blast_rank=2879&RID=2AYZ3C4E016"",""HBA46890.1"")"
Nif11-like leader peptide family natural product precursor [Acaryochloris sp. RU_4_1],Acaryochloris sp. RU_4_1,NA,2720442,52.4,52.4,59%,1e-06,20.69,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJM65788.1?report=genbank&log$=prottop&blast_rank=2880&RID=2AYZ3C4E016"",""NJM65788.1"")"
nif11-like leader peptide domain-containing protein [Lachnospiraceae bacterium],Lachnospiraceae bacterium,NA,1898203,52.8,52.8,74%,1e-06,22.08,89,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/SNU09232.1?report=genbank&log$=prottop&blast_rank=2881&RID=2AYZ3C4E016"",""SNU09232.1"")"
Nif11-like leader peptide family RiPP precursor [Prochlorococcus marinus],Prochlorococcus marinus,NA,1219,52.8,52.8,55%,1e-06,20.37,88,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_041700692.1?report=genbank&log$=prottop&blast_rank=2882&RID=2AYZ3C4E016"",""WP_041700692.1"")"
Nif11 family protein [Gemmatimonadetes bacterium],Gemmatimonadetes bacterium,NA,2026742,52.8,52.8,52%,1e-06,29.41,80,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NJD20494.1?report=genbank&log$=prottop&blast_rank=2883&RID=2AYZ3C4E016"",""NJD20494.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. RS9916],Synechococcus sp. RS9916,NA,221359,52.8,52.8,82%,1e-06,14.81,87,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_007099668.1?report=genbank&log$=prottop&blast_rank=2884&RID=2AYZ3C4E016"",""WP_007099668.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. CBW1006],Synechococcus sp. CBW1006,NA,1353138,52.8,52.8,71%,1e-06,24.29,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_197153861.1?report=genbank&log$=prottop&blast_rank=2885&RID=2AYZ3C4E016"",""WP_197153861.1"")"
Nif11-like leader peptide family natural product precursor [Burkholderiaceae bacterium],Burkholderiaceae bacterium,NA,2030806,53.2,53.2,50%,1e-06,20.75,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBJ7263470.1?report=genbank&log$=prottop&blast_rank=2886&RID=2AYZ3C4E016"",""MBJ7263470.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [unclassified Synechococcus],unclassified Synechococcus,NA,2626047,52.8,52.8,75%,1e-06,22.97,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_006171849.1?report=genbank&log$=prottop&blast_rank=2887&RID=2AYZ3C4E016"",""WP_006171849.1"")"
hypothetical protein [Succiniclasticum ruminis],Succiniclasticum ruminis,NA,40841,52.8,52.8,63%,1e-06,30.65,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_093731033.1?report=genbank&log$=prottop&blast_rank=2888&RID=2AYZ3C4E016"",""WP_093731033.1"")"
Nif11-like leader peptide family RiPP precursor [Prochlorococcus marinus],Prochlorococcus marinus,NA,1219,52.4,52.4,61%,1e-06,18.03,79,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_063403901.1?report=genbank&log$=prottop&blast_rank=2889&RID=2AYZ3C4E016"",""WP_063403901.1"")"
Nif11-like leader peptide family RiPP precursor [Chroococcidiopsis sp. PCC 6712],Chroococcidiopsis sp. PCC 6712,NA,118675,52.4,52.4,85%,1e-06,15.48,77,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_169244887.1?report=genbank&log$=prottop&blast_rank=2890&RID=2AYZ3C4E016"",""WP_169244887.1"")"
hypothetical protein [Butyrivibrio sp. AE2032],Butyrivibrio sp. AE2032,NA,1458463,54.0,54.0,69%,1e-06,32.35,145,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_034451095.1?report=genbank&log$=prottop&blast_rank=2891&RID=2AYZ3C4E016"",""WP_034451095.1"")"
Nif11-like leader peptide family RiPP precursor [Acaryochloris marina],Acaryochloris marina,NA,155978,52.4,52.4,67%,1e-06,21.21,69,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_012160974.1?report=genbank&log$=prottop&blast_rank=2892&RID=2AYZ3C4E016"",""WP_012160974.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Spiribacter],Spiribacter,NA,1335745,53.2,53.2,76%,1e-06,19.51,108,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_144347589.1?report=genbank&log$=prottop&blast_rank=2893&RID=2AYZ3C4E016"",""WP_144347589.1"")"
Nif11 family protein [Anaerovibrio lipolyticus],Anaerovibrio lipolyticus,NA,82374,54.0,54.0,76%,1e-06,21.05,144,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_039211883.1?report=genbank&log$=prottop&blast_rank=2894&RID=2AYZ3C4E016"",""WP_039211883.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfovibrio sp. TomC],Desulfovibrio sp. TomC,NA,1562888,52.4,52.4,62%,1e-06,34.43,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_043639851.1?report=genbank&log$=prottop&blast_rank=2895&RID=2AYZ3C4E016"",""WP_043639851.1"")"
hypothetical protein PMIT1313_02337 [Prochlorococcus marinus str. MIT 1313],Prochlorococcus marinus str. MIT 1313,NA,1801624,53.6,53.6,76%,1e-06,34.67,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/KZR68713.1?report=genbank&log$=prottop&blast_rank=2896&RID=2AYZ3C4E016"",""KZR68713.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfohalovibrio reitneri],Desulfohalovibrio reitneri,NA,1307759,52.1,52.1,61%,1e-06,26.67,60,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_029896688.1?report=genbank&log$=prottop&blast_rank=2897&RID=2AYZ3C4E016"",""WP_029896688.1"")"
Nif11-like leader peptide family RiPP precursor [Leptolyngbya sp. FACHB-1624],Leptolyngbya sp. FACHB-1624,NA,2692802,53.6,53.6,66%,1e-06,24.64,122,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_190650304.1?report=genbank&log$=prottop&blast_rank=2898&RID=2AYZ3C4E016"",""WP_190650304.1"")"
Nif11-like leader peptide family RiPP precursor [Thiomicrorhabdus sediminis],Thiomicrorhabdus sp. G1,NA,2580412,52.4,52.4,59%,1e-06,13.79,72,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_138565248.1?report=genbank&log$=prottop&blast_rank=2899&RID=2AYZ3C4E016"",""WP_138565248.1"")"
Nif11 family protein [Methylocystaceae bacterium],Methylocystaceae bacterium,NA,2052174,52.8,52.8,74%,1e-06,19.23,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NVJ92292.1?report=genbank&log$=prottop&blast_rank=2900&RID=2AYZ3C4E016"",""NVJ92292.1"")"
Nif11 family protein [Bradyrhizobium zhanjiangense],Bradyrhizobium zhanjiangense,NA,1325107,53.6,53.6,76%,1e-06,22.37,124,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_128957376.1?report=genbank&log$=prottop&blast_rank=2901&RID=2AYZ3C4E016"",""WP_128957376.1"")"
Nif11-like leader peptide family natural product precursor [Candidatus Hydrogenedentes bacterium],Candidatus Hydrogenedentes bacterium,NA,2030809,52.4,52.4,73%,1e-06,22.67,78,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL7646438.1?report=genbank&log$=prottop&blast_rank=2902&RID=2AYZ3C4E016"",""MBL7646438.1"")"
Nif11-like leader peptide family natural product precursor [Desulfocapsa sp.],Desulfocapsa sp.,NA,2066021,52.4,52.4,55%,1e-06,31.48,73,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBL4901705.1?report=genbank&log$=prottop&blast_rank=2903&RID=2AYZ3C4E016"",""MBL4901705.1"")"
Nif11-like leader peptide family RiPP precursor [Synechococcus sp. PROS-7-1],Synechococcus sp. PROS-7-1,NA,1442556,52.8,52.8,76%,1e-06,20.00,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_186596823.1?report=genbank&log$=prottop&blast_rank=2904&RID=2AYZ3C4E016"",""WP_186596823.1"")"
MULTISPECIES: Nif11-like leader peptide family RiPP precursor [Eggerthella],Eggerthella,NA,84111,53.6,53.6,76%,1e-06,23.46,130,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_035584629.1?report=genbank&log$=prottop&blast_rank=2905&RID=2AYZ3C4E016"",""WP_035584629.1"")"
Nif11-like leader peptide family natural product precursor [Synechococcaceae bacterium WB8_1B_136],Synechococcaceae bacterium WB8_1B_136,NA,2448802,52.8,52.8,64%,1e-06,15.87,93,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/NDG75353.1?report=genbank&log$=prottop&blast_rank=2906&RID=2AYZ3C4E016"",""NDG75353.1"")"
TPA: Nif11 family protein [Porticoccaceae bacterium],Porticoccaceae bacterium,NA,2026782,52.8,52.8,80%,1e-06,19.32,86,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/HIK79984.1?report=genbank&log$=prottop&blast_rank=2907&RID=2AYZ3C4E016"",""HIK79984.1"")"
Nif11-like leader peptide family RiPP precursor [Desulfovibrio sp. DV],Desulfovibrio sp. DV,NA,1844708,52.4,52.4,54%,1e-06,37.74,81,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/WP_075352977.1?report=genbank&log$=prottop&blast_rank=2908&RID=2AYZ3C4E016"",""WP_075352977.1"")"
Nif11-like leader peptide family natural product precursor [Schwartzia succinivorans],Schwartzia succinivorans,NA,55507,53.2,53.2,80%,1e-06,28.75,111,"=HYPERLINK(""https://www.ncbi.nlm.nih.gov/protein/MBE6095294.1?report=genbank&log$=prottop&blast_rank=2909&RID=2AYZ3C4E016"",""MBE6095294.1"")"
